cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,anio,cod_municipio,municipio,clase
"41","HUILA","22,4","0,4","1,5","10,4","4,3","16,3","9,2","2,6","3,3","50,8","1,2","5,8","12,7","0,7","2021","41615","RIVERA","Cabecera municipal",
"41","HUILA","33,2","2,1","2,1","11,3","10,9","14,6","15,3","6,4","4,1","57,7","4,3","3,5","21,1","3,1","2021","41660","SALADOBLANCO","Cabecera municipal",
"41","HUILA","23,6","0,7","1,4","10","10,1","14,6","12,1","2,5","2,8","52","1,3","2,5","15,7","1","2021","41668","SAN AGUSTIN","Cabecera municipal",
"41","HUILA","27,5","2,7","1,2","11,4","6,1","13,3","13,6","4,7","3,1","56,5","1,8","3,8","18,1","1,9","2021","41676","SANTA MARIA","Cabecera municipal",
"41","HUILA","21,2","0,7","1,3","8,6","3,4","14,2","11,5","2,8","3,7","56","3,9","2,4","17,7","3,2","2021","41770","SUAZA","Cabecera municipal",
"41","HUILA","27,1","0,8","1,6","12,1","3,8","13,3","10,1","1,1","3,8","59","4","2","16,3","1","2021","41791","TARQUI","Cabecera municipal",
"41","HUILA","25,9","0,5","0,9","11,6","9,3","13,9","13,6","1,6","2,1","53,5","0,4","1,9","13,5","1,1","2021","41797","TESALIA","Cabecera municipal",
"41","HUILA","40,8","1,1","0,9","20,7","1,2","16,5","17,2","2,1","4,4","69,3","1,7","7,2","18,4","1,5","2021","41799","TELLO","Cabecera municipal",
"41","HUILA","22,7","1,1","0,8","14,5","0,8","12,1","13,2","1,1","3","64,8","0,2","1","17,5","2,4","2021","41801","TERUEL","Cabecera municipal",
"41","HUILA","23,2","0,9","1,6","10,9","4","14,6","13,5","1,2","2,8","55,5","2,5","2,7","15,6","1,6","2021","41807","TIMANA","Cabecera municipal",
"41","HUILA","32,9","1,7","1,5","16,6","3,8","12,2","20,5","4,3","2,2","67,8","1,3","6,8","14,4","0,2","2021","41872","VILLAVIEJA","Cabecera municipal",
"41","HUILA","21,2","0,5","1,4","12,3","1,7","13,6","7,3","0,7","2","56,8","2,5","1,4","9","0,3","2021","41885","YAGUARA","Cabecera municipal",
"41","HUILA","32,5","14,5","2,2","15,4","5,4","15,9","5,8","5,9","5","64,6","1,5","10,9","21,1","1,9","2021","41001","NEIVA","Resto",
"41","HUILA","55,6","48,9","3,7","11,4","4,7","14","6,4","39,4","12,2","81,6","6,6","23,7","22,8","7,9","2021","41006","ACEVEDO","Resto",
"41","HUILA","66","68,1","2,9","23,1","16,9","15,5","6,4","17,3","9,5","86,7","7,3","26,9","28,8","5,4","2021","41013","AGRADO","Resto",
"41","HUILA","48,2","45,7","2","18,7","9,3","17,8","5,8","11,1","5,3","72,5","5,6","20,1","18,5","1,8","2021","41016","AIPE","Resto",
"41","HUILA","55,1","55,9","1,7","18,6","5,3","12,7","6,6","29,7","10,1","82,7","1,9","26,9","26,6","5,5","2021","41020","ALGECIRAS","Resto",
"41","HUILA","43","25,5","1,4","12,7","12,3","17,2","7,5","9,9","4,6","75,6","0,8","5,5","25,7","2","2021","41026","ALTAMIRA","Resto",
"41","HUILA","63,8","62,7","1,8","22,3","0,5","9,8","6,4","36,5","8,4","88,2","1,5","33,1","22,2","2,3","2021","41078","BARAYA","Resto",
"41","HUILA","44,6","37,2","2,7","14,6","6,7","13,1","7,2","11,8","6,4","78,9","1,9","21,8","16,4","3,9","2021","41132","CAMPOALEGRE","Resto",
"41","HUILA","73,5","55,9","2,5","20,6","3,4","14","5,6","40,3","12,2","88,7","0,8","32,6","21,9","2,9","2021","41206","COLOMBIA","Resto",
"41","HUILA","38,5","24,3","2,1","14,9","0,4","10,7","4,1","18,9","9,1","83,2","0,4","8,5","16,4","5,3","2021","41244","ELIAS","Resto",
"41","HUILA","43,4","17,3","2","15,6","6,3","13,5","5","11,5","8","80,1","4,1","15,3","22,4","4,8","2021","41298","GARZON","Resto",
"41","HUILA","45","22,2","1,6","17,7","8","16,3","5,9","12,9","6","79,1","2,4","16,1","22,1","3,4","2021","41306","GIGANTE","Resto",
"41","HUILA","51,2","32,4","3,6","18,9","3,1","12,1","5,7","20,3","9","86,7","9,3","22","20,9","6,1","2021","41319","GUADALUPE","Resto",
"41","HUILA","67,1","85,7","3,1","20,2","1","11,8","17,4","42,6","8,7","89,7","26,2","48,6","21,1","3,1","2021","41349","HOBO","Resto",
"41","HUILA","54,2","47,2","3,3","16,8","1,1","13,9","12,1","37,6","9,9","81,7","0,8","38","24,5","6","2021","41357","IQUIRA","Resto",
"41","HUILA","48,3","23,8","1,2","17,2","20,2","8,3","4,7","20,6","8,9","83,8","1,5","21,3","21,5","7,4","2021","41359","ISNOS","Resto",
"41","HUILA","52,1","32,2","2,8","13,9","6,6","10,8","6,3","15,2","8,1","82,7","1,5","28,2","26","5,1","2021","41378","LA ARGENTINA","Resto",
"41","HUILA","57,2","38,8","2,3","16,1","8,5","13,6","6,8","29,7","8,5","80,6","6,3","36","24,4","4,9","2021","41396","LA PLATA","Resto",
"41","HUILA","55,5","43,1","3,2","16,9","18,5","12","10,1","34,7","5,8","80,7","2,4","28,6","23,2","6","2021","41483","NATAGA","Resto",
"41","HUILA","66,1","20,5","1,4","16,9","17","11,1","7,1","67,3","10,9","84,1","2","15,2","24,2","7,2","2021","41503","OPORAPA","Resto",
"41","HUILA","53,2","47,3","2,1","14,6","6,5","14,3","6","16,3","6,8","81,4","1,5","20,5","26,7","4,9","2021","41518","PAICOL","Resto",
