cod_departamento,departamento,hacinamiento,servicios,vivienda,personas_nbi,inasistencia,miseria,anio,cod_municipio,municipio,clase
"41","HUILA","6,23","2,97","6,44","26,67","3,7","6,43","2005","41132","CAMPOALEGRE","Total",
"41","HUILA","10,61","37,17","36,04","64,77","7,83","34,63","2005","41206","COLOMBIA","Total",
"41","HUILA","7,86","6,2","8,7","33,27","5,3","11,02","2005","41244","ELIAS","Total",
"41","HUILA","7,51","7,97","10,77","30,93","6,02","10,96","2005","41298","GARZON","Total",
"41","HUILA","6,39","4,07","10,12","30,7","6,35","7,63","2005","41306","GIGANTE","Total",
"41","HUILA","7,84","8,15","15,24","36,94","4,48","12,35","2005","41319","GUADALUPE","Total",
"41","HUILA","8,08","7,29","12,56","32,68","4,08","11,11","2005","41349","HOBO","Total",
"41","HUILA","7,31","21,01","19,03","44,29","4,45","19,18","2005","41357","IQUIRA","Total",
"41","HUILA","9,79","16,19","17,77","46,63","6,94","17,9","2005","41359","ISNOS","Total",
"41","HUILA","12,9","12,94","19,32","44,67","3,24","18,18","2005","41378","LA ARGENTINA","Total",
"41","HUILA","8,56","13,7","22,27","44,51","4,46","17,47","2005","41396","LA PLATA","Total",
"41","HUILA","10,26","7,84","24,74","42,28","3,81","15,81","2005","41483","NATAGA","Total",
"41","HUILA","21,84","11,88","16,69","53,3","7,58","20,73","2005","41503","OPORAPA","Total",
"41","HUILA","4,78","17,37","19,97","38,44","3,29","15,15","2005","41518","PAICOL","Total",
"41","HUILA","7,61","6,94","11,35","30,22","4,14","8,78","2005","41524","PALERMO","Total",
"41","HUILA","12,48","13,15","17,69","44,97","6,45","18,18","2005","41530","PALESTINA","Total",
"41","HUILA","6,98","15,28","21,39","44,85","4,39","18,19","2005","41548","PITAL","Total",
"41","HUILA","14,4","5,61","12,53","37,08","8,7","15,4","2005","41551","PITALITO","Total",
"41","HUILA","12,82","2,76","12,49","32,32","5,32","10,02","2005","41615","RIVERA","Total",
"41","HUILA","9,31","6,01","13,16","49,44","12,18","16,83","2005","41660","SALADOBLANCO","Total",
"41","HUILA","13,76","9,71","18,18","42,49","6,41","15,31","2005","41668","SAN AGUSTIN","Total",
"41","HUILA","9,7","11,72","20,71","42,02","3,33","15,05","2005","41676","SANTA MARIA","Total",
"41","HUILA","6,71","20,76","19,29","45,69","5,24","18,99","2005","41770","SUAZA","Total",
"41","HUILA","7,69","11,6","14,4","40,85","5,57","13,25","2005","41791","TARQUI","Total",
"41","HUILA","6,83","4,02","9,08","29,53","1,82","6,53","2005","41797","TESALIA","Total",
"41","HUILA","14,13","12,66","26,24","53,45","4,81","21,08","2005","41799","TELLO","Total",
"41","HUILA","8,87","10,79","13,52","34,45","5,59","13,07","2005","41801","TERUEL","Total",
"41","HUILA","8,62","10,12","7,39","31,45","5,25","10,51","2005","41807","TIMANA","Total",
"41","HUILA","10,04","10,11","16,83","40","5,12","14,05","2005","41872","VILLAVIEJA","Total",
"41","HUILA","3,97","1,99","6,52","21,84","1,23","4,62","2005","41885","YAGUARA","Total",
"41","HUILA","1,8","0,23","3,31","7,51","1,16","1,14","2018","41001","NEIVA","Total",
"41","HUILA","3,33","2,28","5,17","19,03","2,35","2,44","2018","41006","ACEVEDO","Total",
"41","HUILA","2,35","2,66","6,21","18,19","1,04","2,56","2018","41013","AGRADO","Total",
"41","HUILA","2,49","1,26","6,4","15,19","1,03","2,47","2018","41016","AIPE","Total",
